N°DPE;Etiquette_DPE;Année_construction;N°_voie_(BAN);Code_postal_(BAN);Nom__rue_(BAN);Nom__commune_(Brut);Conso_5_usages_é_finale
2244E1123873Q;D;1964;1;44700;allée de la penfeld;Orvault;11498,4
2362E2921068G;D;1983;63;62750;Rue de Gascogne;LOOS-EN-GOHELLE;15581,7
2135E0673553G;D;1947;55;35330;Pellan;VAL D'ANAST;45514,6
2294E1266291E;D;1961;;94200;.;IVRY-SUR-SEINE;15984
2344E1942875T;D;1945;3;44300;Chemin de la Basse Gaudinière;NANTES;8868,8
2150E0654887X;G;1947;;50420;;TESSY-BOCAGE;27272,7
2214E0337878X;C;1965;1;14200;rue abbé lucas;HEROUVILLE-SAINT-CLAIR;8742,3
2378E2410356C;C;1989;13;78280;Rue Léon Tolstoï;Guyancourt;10553,8
2101E0655173A;D;1947;50;01470;Rue des Alinieres;SEILLONNAZ;20272,2
2244E0400105K;C;2021;152;44300;Route de Saint Joseph;Nantes;6041,2
2395E3026633S;C;1975;4;95130;Rue des Monts Rouges;Franconville;7918,2
2191E0655244F;C;2001;9;91160;Rue de la Fontaine;CHAMPLAN;18395,5
2277E0646249T;D;1945;8;77390;Rue du Pavillon;GUIGNES;13935,3
2351E3869509I;D;1945;7;51100;rue Diderot;REIMS;20044,2
2131E0655748H;D;1947;39;31450;Chemin de Toulouse;AYGUESVIVES;84604,5
2213E1626186E;C;1961;10;13015;Impasse Marjolaine;MARSEILLE;10033,8
2391E0898221O;C;1978;50;91700;Rue Paul Eluard;SAINTE-GENEVIEVE-DES-BOIS;2995,6
2125E0656369Y;D;1986;8;25570;Cote Charniere;GRAND COMBE CHATELEU;36655,6
2253E2840248K;F;1945;44;53950;Rue Nationale;LOUVERNE;11564,1
2373E1193283K;C;1900;26;73200;Avenue du champ de mars;Albertville;4776,6
2164E0660681H;C;1983;144;64990;Chemin Iguzki Denean;MOUGUERRE;27393
2236E3196470P;F;1953;37;36000;Boulevard Saint-denis;CHATEAUROUX;23479
2276E3235561Q;C;1976;30;76610;Rue Edouard Vaillant;LE HAVRE;7209,5
2172E0650823L;C;1947;8;72200;Rue du Rempart;LA FLECHE;9230,7
2221E3066434Q;D;1948;;21170;9 RUE MARTENE lot 15 UG 130267;Saint-Jean-de-Losne;17136,9
2336E2008662S;C;1961;;;;CHATEAUROUX;6957,2
2107E0653773K;E;1947;1;07290;Impasse du Val dâ€™Ay;SATILLIEU;27428,8
2230E0204148B;A;2009;45;30340;Chemin du Mas Ricaud;Rousson;3280,7
2360E1466552G;C;1978;2;60100;Rue Aristide Briand;Creil;3656,7
2111E0641037S;C;1948;30;11000;Rue F Rene de Chateaubriand;CARCASSONNE;12660,8
2251E2994819J;G;1945;123;51100;rue de la Maison Blanche;REIMS;12208,4
2301E2549421U;D;1948;288;01400;Rue de Munetville;L'Abergement-Clémenciat;9747,8
2123E0642410Z;D;1948;2;23300;Rue du Puy Romain;LA SOUTERRAINE;59951,5
2237E0376502I;G;1945;31;37000;Rue Lavoisier;TOURS;6040,4
2334E1413018G;C;1978;37;34110;Avenue du Mas de Chave;Frontignan;8128,4
2180E0644231F;G;1948;2;80600;Rue Neuve;TERRAMESNIL, France;26683,7
2275E0539466Q;C;1995;81;75013;Rue du Dessous des Berges;Paris;4832,1
2376E2213733P;E;1945;10bis;76960;Rue Roland Dufils;NOTRE DAME DE BONDEVILLE;7231,7
2107E0645720R;E;1947;1050;07610;Route de Terre Noire;LEMPS;43767,1
2283E2975703J;B;2013;249;83110;chemin de l'Huide;Sanary-sur-Mer;2110,6
2373E2029530T;G;1959;371;73400;Avenue Ernest Perrier de la Bathie;Ugine;16838
2121E0646155Y;D;1947;24;21000;Rue Claude Rossignol;DIJON;26166,4
2275E2509267F;G;1900;22;75014;Rue Boyer-Barret;PARIS;5246,8
2344E2926384A;E;1948;11;44000;Quai Henri Barbusse;NANTES;3699,6
2188E0646655T;C;1947;50;88150;Rue Kléber;THAON LES VOSGES;23784
2293E2378613T;E;1948;;93100;;MONTREUIL;4906,6
2378E3052061B;C;1975;113;78300;Rue Saint Sébastien;POISSY;7371,3
2101E0647436L;E;1947;17;01600;Rue du Bois;TREVOUX;73377,1
2214E2471710J;E;1985;3;14100;Résidence Saint-Clair;Saint-Désir;11292,8
2373E1166985Y;E;1900;9;73200;Rue georges lamarque;Albertville;9077,3
2142E0636971N;F;1948;379;42820;Route de Saint Bonnet;AMBIERLE;40598,5
2244E0289430R;D;1961;64;44500;Avenue Louis Lajarrige;LA BAULE;16996,1
2294E3206010T;C;2006;2;94300;Rue de Montreuil;VINCENNES;6634,5
2143E0638151Y;F;1947;;43170;;CHANALEILLES;44648,9
2251E0922315R;E;1961;;51300;Avenue du bois bodé;Vitry-le-François;14325,3
2313E2045080N;C;1970;504;13300;Boulevard Robert Schuman;Salon-de-Provence;3685,6
2101E0638723I;D;1947;;01300;;MASSIGNIEU-DE-RIVES;16431,8
2162E1028251N;C;1992;91;62400;Rue Edouard Carlier;BETHUNE;6667,3
2378E3503562M;D;1948;23;78000;Rue Champ Lagarde;Versailles;10023,8
2135E0630150X;C;1947;79;35800;Rue des Douets;ST LUNAIRE;12341
2214E1300534D;C;1976;3;14000;Rue des Anciens d’Afn;CAEN;5527,5
2316E2969598A;C;2001;8;16000;Lotissement De La Croix Lanauve;Angoulême;9906,6
2184E0631458C;C;1989;;84120;;PERTUIS;14590,9
2128E1026038C;B;1980;1-6;28110;Béguines;Lucé;6710,5
2391E3923918N;C;2006;;91270;Avenue Henri Charon;VIGNEUX-SUR-SEINE;8505
2159E0621422D;G;1947;2;59253;Rue des Carles;LA-GORGUE;34155,2
2244E0632494L;D;1968;1;44800;Rue de Cahors;Saint-Herblain;13859,9
2378E2269184K;C;1948;3;78140;Rue Albert Pichon;VELIZY-VILLACOUBLAY;11027,8
2130E0624740Q;C;1948;52;30100;Grand Rue Jean Moulin;ALÈS;4804,8
2259E1627742U;C;1961;6;59129;Pas de l’Intendant Largillere;Avesnes-les-Aubert;6124,8
2375E3836150F;C;1993;51;75018;Rue Marx Dormoy;PARIS;4719,2
2183E0624832F;D;1948;730;83530;Boulevard Eugène Brieux;ST RAPHAEL, France;33909,4
2222E2693546V;C;1945;;22540;Rue de Traou Pont;PEDERNEC;5869,6
2378E3591233L;C;1948;7;78190;Square Castiglione Del Lago;Trappes;6371,2
2161E0625668N;D;1983;47;61200;Rue Claude Debussy;ARGENTAN, France;14768,4
2295E1446466A;C;1982;;95100;Rue Jean Charcot;Argenteuil;5310,5
2378E2568217R;D;1965;27;78190;Square Jean Macé;Trappes;10715,8
2176E0626105X;D;1983;23;76130;Rue Charles Frechon;MONT ST AIGNAN;22041
2292E2970949W;D;2001;80;92150;Gardenat Lapostol;Suresnes;9395,3
2314E3382336M;C;2014;8;14160;Rue Jorge Semprun;DIVES-SUR-MER;9210,7
2183E0626163K;D;1947;1;83270;Allée des Palmiers;Saint cyr sur mer;27230,5
2216E0728038D;E;1961;5;16800;Rue des Freres Pelissier;Soyaux;22649,7
2335E3866798L;C;1991;12;35000;Rue Arthur Fontaine;RENNES;7345,1
2179E0614227E;D;1900;;79000;239 Avenue Saint Jean d’Angely;NIORT;23961
2295E0332203T;E;1968;;95160;Pascal;Montmorency;21611,1
2338E0567928Y;B;1948;13;38800;Avenue Victor Hugo;Le Pont-de-Claix;5485,3
2191E0617347Q;D;2006;76;91400;Rue Curie;SACLAY;21413,2
2233E1281973Z;D;1970;;33700;rue Galvani;Mérignac;180911,8
2362E1648111J;D;1978;7;62400;Residence Saint-Christophe;BETHUNE;8620,3
2189E0618677S;C;1947;19;89113;Rue de Cesoy;FLEURY LA VALLEE;19412,7
2294E0933032N;E;1961;41;94450;Avenue de Valenton;Limeil-Brévannes;15602,1
2351E0966098R;D;1945;;51400;;MOURMELON-LE-GRAND;17520,3
2149E0610176F;C;1948;66;49300;Boulevard du Général Faidherbe;CHOLET;17597,5
2294E1132411Y;E;1961;;94800;;VILLEJUIF;8051,3
2369E0064400R;G;1945;398;69430;Chemin des Laissus;LES ARDILLATS;27242,2
2138E0611927D;F;1947;330;38480;Chemin de sous Boutet;ROMAGNIEU;22468,6
2262E2069883I;D;1968;;62880;9 RUE FOCH;PONT-A-VENDIN;13175,2
2362E1258943J;C;1979;;62700;Residence les Fleuves;BRUAY-LA-BUISSIERE;7123,7
2118E0600020K;D;1947;1;18140;Rue Verte;PRECY;17370
2252E0912323K;D;2007;20;52260;Rue des Noisetiers;Rolampont;11203,8
2335E1195552F;C;1948;12;35500;Square de Maison Rouge;VITRE;6664,5
2131E0602649A;G;1947;;31230;;BOISSEDE;28788
2250E1338921Y;C;1961;;50130;Avenue de Cessart;Cherbourg-en-Cotentin;6851,1
2335E3400627U;C;1948;4;35600;Rue des Ajoncs;REDON;7429,9
2170E0602858O;F;1948;4b;70400;Rue des Champs;CHALONVILLARS;46365
2231E0692732U;C;1945;2;31130;Place Maréchal Niel;Pin-Balma;4541,2
2333E2392357C;C;2016;19;33240;Rue Simone Buisson;ST ANDRE DE CUBZAC;3401,4
2157E0606010H;D;1948;8;57270;Cite des Sports;Uckange;25598,1
2229E2110121R;B;1973;;29900;Rue de Lanriec;CONCARNEAU;4701,7
2334E3546324M;C;1912;;34070;Allée Léonor Fini;MONTPELLIER;2289
2111E0606047Y;D;1948;49;11500;Boulevard des Corbières;QUILLAN;21868,3
2244E1786871O;C;2013;43;44100;Rue Littré;NANTES;2847,6
2333E1736506B;C;1999;28;33950;Allee Belem;Lege cap ferret;16247,6
2102E0595503B;G;1947;129;02200;Impasse des Beudiers;VENIZEL;32483,2
2276E2911500T;E;1977;;76210;Rue du Vieux Château;GRUCHET LE VALASSE;13742,7
2335E2844401M;D;1975;9;35230;Place des Horizons;NOYAL-CHATILLON-SUR-SEICHE;15184,8
2105E0595651W;F;1978;;05340;;Vallouise Pelvoux;48061,6
2251E1294716U;D;1977;16 à 20;51100;Saint Léonard;Reims;264721,7
2363E1569194D;E;1949;191;63160;Route Beauvallon;EGLISENEUVE PRES BILLOM;14179,6
2147E0597036T;D;1948;113;47200;Rue Tombeloly;MARMANDE;26755,6
2294E1275406T;C;1961;;94380;;BONNEUIL-SUR-MARNE;12449,2
2385E3046863K;D;1981;83;85430;Route de l'angelmière;AUBIGNY-LES CLOUZEAUX;25108
2149E0586448P;E;1947;12;49630;Rue David d’Angers;MAZE MILON;36345,2
2229E2110041P;B;1973;;29900;Rue de Lanriec;CONCARNEAU;5524,5
2342E2963914K;B;;7;42400;Allée du bois d'Onzion;SAINT-CHAMOND;4057,9
2156E0588004S;F;1948;24;56410;Rue Pierre Loti;ETEL;41125,4
2272E1566779O;C;1961;;72000;Rue de Flore;Le Mans;5144,5
2362E1077878I;C;;3;62620;Rue des Fontinettes;HOUCHIN;8178,5
2172E0592236C;D;1947;;72220;;TELOCHÉ;15484,4
2291E1559639R;E;1945;216;91210;Rue Pierre Brossolette;Draveil;21672
2349E1760234H;C;2012;21;49000;Rue Gustave Mareau;ANGERS;3122,7
2171E0592398H;E;1948;4;71100;Rue de l'Industrie;CHALON-SUR-SAÔNE;14575,8
2291E1662769F;C;1964;;91100;.;Corbeil-Essonnes;7382,3
2334E1549354Y;B;2009;37;34750;Avenue des Melias;VILLENEUVE-LÈS-MAGUELONE;4935,8
2106E0579643F;C;1948;12;06300;Rue Raoul Ponchon;NICE;6794,9
2224E0877818F;D;1973;19;24430;Rue des Tarrieres;RAZAC SUR L ISLE;20042,6
2378E2668960K;E;1975;2;78500;Rue Fernand Leger;SARTROUVILLE;8457
2138E0579797J;C;1978;11;38630;Route du Perticoz;LES AVENIÈRES;30216,8
2295E0102232S;C;1961;;95320;;SAINT-LEU-LA-FORET;4354,7
2376E0865225X;C;1952;4;76250;Rue Jean Mermoz;DEVILLE LES ROUEN;6437
2133E0580056D;D;1948;28;33710;Chemin dâ€™Entre 2 Monts;PRIGNAC ET MARCAMPS;27052,8
2277E2837498O;D;1978;6;77135;Rue des Trotteurs;PONTCARRE;20819,1
2326E2273188K;B;1995;180b;26750;Chemin du Bois du Cerf;PARNANS;12626,2
2101E0580041I;D;2006;3;01440;Rue des Pinsons;VIRIAT;27268
2251E1475479F;G;1945;11;51130;Grande Rue;ROUFFY;28738,3
2383E2114597Y;B;2009;;83640;Boulevard de la Tommette;ST ZACHARIE;3527,9
2168E0583337R;D;1989;6;68480;Rue des Merisiers;RAEDERSDORF;34390,7
2293E0841374E;C;1970;;93140;.;Bondy;8416,5
2301E3498530Z;D;1900;497;01130;Impasse du Cernay;BELLEYDOUX;38254,1
2141E0573414Z;D;1948;21;41400;Route de Serelle;ANGE;20706,2
2271E2632650O;E;1945;;71570;;ROMANECHE-THORINS;9657,4
2342E2947213B;B;;35;42400;Allée de la grande terre;SAINT-CHAMOND;3262,2
2160E0575648Q;E;1947;56;60130;Grande Rue;Fournival, France;27194
2291E0817309N;E;1961;19;91860;Rue de l’Ile de France;EPINAY-SOUS-SENART;16343,9
2378E1579403J;C;1948;18;78100;Rue Schnapper;SAINT-GERMAIN-EN-LAYE;5294,6
2162E0578707J;F;1947;188;62440;Rue des Fusillés;HARNES;50258
2291E1681597J;E;1948;148;91270;Avenue Henri Barbusse;VIGNEUX-SUR-SEINE;17837,4
2360E0629108W;C;1981;1;60100;Allee du Faubourg;Creil;5111,2
2162E0578752C;C;1948;42;62130;Rue dâ€™Arras;ST MICHEL SUR TERNOISE;21519
2295E1111118A;C;1967;29;95100;Allee Romain Rolland;Argenteuil;6283,8
2391E2597458V;C;2009;2;91300;Square du Clos de Villaine;Massy;6387,2
2130E0572710M;F;1947;116;30900;Chemin du Cul de la Marmite;NÎMES;35668,5
2292E3044808P;C;2013;;92700;.;Colombes;4604,1
2373E1140863G;D;1900;37;73200;Rue félix chautemps;Albertville;7576,6
2140E0559032U;C;2006;52;40420;Impasse du Huroucat;BROCAS;9289,7
2244E1053350F;E;1961;14;44100;Rue de la Brianderie;NANTES;1887,2
2336E3825179T;D;1958;;;;CHATEAUROUX;7542,7
2163E0561401U;G;1947;45;63270;Impasse du Courtias;VIC-LE-COMTE;37699,8
2260E0854599O;C;1945;435;60000;Route de Gisors;AUX MARAIS;9630,7
2377E2377472H;F;1630;;77440;La Trousse;Ocquerre;17539,8
2142E0563185P;F;1948;140;42660;Impasse des Mesanges;PLANFOY;35402,5
2291E2906623T;E;1989;26;91270;Rue des Camélias;VIGNEUX-SUR-SEINE;7621,1
2322E3444844Y;C;1975;;22100;Avenue de Bretagne;DINAN;6420,9
2126E0565198K;D;1989;12;26500;Impasse Pegoud;Bourg-lès-Valence, France;19602,8
2283E1073335J;C;1976;87;83200;Chemin de Rigoumel;Toulon;6141,2
2395E1935467U;C;2006;47;95240;Rue Jean Martin Viez;Cormeilles-en-Parisis;4423,3
2159E0557765U;F;1948;23;59187;Rue de Weissensée;DECHY;30162,6
2283E0865584Y;A;2010;267;83300;Avenue de Verdun;DRAGUIGNAN;1683,2
2373E1195616D;D;2019;3;73200;Rue félix merlot;Albertville;7978,7
2113E0544906L;B;1989;238;13170;Avenue Francois Mitterrand;LES PENNES-MIRABEAU;12003,4
2292E2579978N;E;1948;;92250;.;La Garenne-Colombes;10457,3
2376E3344692A;C;1967;8;76400;Rue Robert Lilly;FECAMP;6650
2187E0549369Y;E;1947;33;87100;Rue Louis Breguet;LIMOGES;70718,7
2259E0414006Q;D;2015;;59360;Avenue Matisse;Le Cateau-Cambrésis;6062,1
2341E0087225M;D;1945;14;41160;Place de l’Église;DANZE;29182,8
2107E0549756T;E;1948;;07100;;ANNONAY;14648,9
2244E0379695K;G;1945;8;44000;Rue Armand Brossard;NANTES;4763,5
2375E3708491G;D;1948;;75015;Voie A/15;Paris;17172,1
2179E0534135S;D;1947;;79230;;BRÛLAIN;31887,3
2291E1117180A;C;1959;;91200;.;ATHIS-MONS;6454,6
2364E1217928Y;B;1975;41;64000;avenue du loup;Pau;3577,7
2179E0535863E;E;1947;5;79360;Rue de la Premiere Ecole;GRANZAY GRIPT;34102,3
2278E2871914H;D;1978;84;78300;Rue Saint Sébastien;POISSY;12051,5
2322E3053030E;C;1948;;22100;Avenue de Bretagne;DINAN;9461,5
2179E0458733Q;C;1965;;79000;45 Rue Valentin Haüy;NIORT;15777,8
2295E0693874E;C;1961;;95160;.;Montmorency;3228,3
2369E3760165M;D;2008;;69800;Rue d'Arsonval;SAINT PRIEST;8949,2
2184E0432220C;C;1988;;84530;56 Cours des Moissons;VILLELAURE;18662
2274E0772151A;C;2000;64;74580;Impasse des Frênes;Viry;21657,5
2350E1309079F;D;1945;;50510;;CERENCES;45921,7
2131E0190161C;E;1800;;31800;36 rue des Pyrénées;LABARTHE INARD;29155,8
2262E2749441E;C;1980;;62420;RESIDENCE LES COUTURELLES;BILLY-MONTIGNY;7408,8
2324E3231169T;C;1978;7;24660;Rue GUY MOCQUET;Coulounieix-Chamiers;16432,3
2163E0077739K;C;1929;;63100;6 IMPASSE DES PECHERS;CLERMONT FERRAND;24302,3
2128E1026033X;B;1980;1-6;28110;Béguines;Lucé;6913,8
2393E3050206H;D;1948;;93370;.;Montfermeil;10800,5
2131E0081059W;D;2004;;31410;32 Ter Avenue du Bouquier;LAVERNOSE LACASSE;24503,2
2244E0588277U;C;1955;129;44400;Rue de la Mirette;Rezé;6536,1
2393E3483457U;E;1948;;93100;Rue Alexis Lepere;MONTREUIL;24512,7
2140E0065780O;F;1963;;40200;9 citée des tilleuls;MIMIZAN;19204,9
2293E2106289T;D;1948;17;93130;Rue Léo Lagrange;NOISY-LE-SEC;7800,9
2330E1315271P;D;1948;9;30800;Place des Sophoras;Saint-Gilles;12473,2
2172E0842674I;B;1957;2;72100;Allée Beethoven;LE MANS;8275,4
2252E0655624J;C;1983;;52200;DE LA RESISTANCE;old Langres;10604,3
2393E3479521K;D;1948;5;93130;Allee des Roses;NOISY LE SEC;6982,4
2159E0845301W;E;1947;10;59161;Rue Venant;RAMILLIES;38225,3
2291E1311395V;C;1961;;91160;;LONGJUMEAU;5354,1
2323E2496193K;E;1945;3;23000;Rue du Frêne;SAVENNES;16864
2144E1002680I;F;1945;6;44530;Madoux;SEVERAC;21133
2291E2300199T;D;1948;;91170;Avenue Jean Bouin;VIRY-CHATILLON;8950,3
2378E2424970E;D;1948;27/29/31/33;78700;Residence des Clos;Conflans-Sainte-Honorine;11819,6
2162E0995397X;E;1952;47;62200;Rue de l’Aspirant Leuregans;BOULOGNE-SUR-MER;33219,1
2295E2236123L;E;1961;;95200;Pierre Koening et François Rude;Sarcelles;18249,4
2324E1217675R;G;1945;;24320;Route du Pas de Fontaines;CHAMPAGNE ET FONTAINE;75082,3
2189E0968703G;D;1983;4;89250;Rue du Saulcis;GURGY;14764
2293E2104684A;D;1948;16;93130;Rue Georges Gay;NOISY-LE-SEC;8920,7
2333E0298793K;B;;11;33420;Lieu Dit les Ardits;DAIGNAC;3727,6
2101E0968835Y;C;2008;59;01210;Rue de la Tour;ORNEX;9962,9
2203E0841871V;B;1961;;03600;HLM GEORGES ROUGERON;Commentry;4647,2
2370E0487714A;C;1983;11;70180;Lotissement du Tertre;VAITE, France;7065,2
2144E0963999P;C;1976;3;44800;Rue d'Amiens;Saint-Herblain;10916,3
2277E1668946G;C;2009;6;77290;Rue d'Evreux;Mitry-Mory;16534
2383E0731979I;C;;32;83200;Impasse des Cades;TOULON;8607,8
2169E0916266R;D;1948;33;69140;Avenue Maurice Ravel;RILLIEUX LA PAPE;10215,3
2244E0632851E;D;1968;1;44800;Rue de Cahors;Saint-Herblain;8266,3
2362E1868144E;F;1954;240;62130;Rue du Bois;HAUTECLOQUE;25531,3
2191E0904029W;D;1961;25;91130;Avenue de Ris Select;RIS-ORANGIS;29538,5
2195E1034479I;D;1982;;95370;24 Arpents, Général De Gaulle et Paul Cezanne;Montigny-lès-Cormeilles;14072,7
2330E3199555B;C;;40;30260;Rue de la Croix;BROUZET LES QUISSAC;4200,1
2172E0835424M;C;1957;;72100;;LE MANS;4438,4
2295E0737989X;C;1961;2;95400;Place Maillol;Villiers-le-Bel;11289,3
2321E0802855Y;D;1994;5;21110;Rue des 100 Journaux;ROUVRES EN PLAINE;33440,9
2172E0835810I;C;1957;;72100;allée César Franck;LE MANS;5645,2
2244E0892613A;D;1976;30;44600;Rue Raoul Dufy;SAINT-NAZAIRE;8542,9
2325E0616643C;D;1973;5;25550;Grande Rue;LAIRE, France;30009,5
2172E0836065D;C;1957;;72100;;LE MANS;5387,7
2294E3190081C;E;1948;28;94300;Rue de la Jarry;VINCENNES;14761,1
2385E2041733O;C;2010;2;85800;Rue du suroît;SAINT GILLES CROIX DE VIE;5065,9
2172E0837671X;C;1957;;72100;;LE MANS;3882,6
2244E0527756B;C;1988;1;44400;Impasse Pierre Giraud;Rezé;4008,3
2378E2644106M;D;1975;2;78500;Rue Fernand Leger;SARTROUVILLE;20393,3
2172E0837713N;B;1957;;72100;;LE MANS;8376,4
2293E3173071V;C;2012;;93700;Rue Louis Delplace;DRANCY;2974,1
2327E1226487S;B;;26;27180;Rue des Vulcains;ST SEBASTIEN DE MORSENT;7046,3
2172E0838267V;C;1957;17;72100;Boulevard Jean-Sébastien Bach;LE MANS;6990,3
2278E2580826P;D;1983;;78280;Boulevard Paul Cézanne;GUYANCOURT;14476,4
2338E3369240S;C;2017;38;38230;Rue Johnny Hallyday;CHARVIEU-CHAVAGNEUX;11334,6
2172E0839748U;C;1957;4;72000;Rue Béranger;LE MANS;5395,1
2259E0876233P;E;1969;78;59000;Boulevard de Metz;LILLE;8798,5
2376E3714548G;C;;35;76000;Rue Henri Dunant;ROUEN;11920,1
2131E0840208X;C;1948;120;31530;Route de Lévignac;LE CASTERA;17901,4
2277E2425336E;C;1948;3;77680;Villa la Frenaie;ROISSY-EN-BRIE;7284,8
2378E2669046S;E;1975;2;78500;Rue Fernand Leger;SARTROUVILLE;8457
2145E0830225M;E;1947;11;45330;Rue de la Vallée;AUGERVILLE LA RIVIERE, France;32657,4
2294E2889847Q;E;1948;64;94290;Rue Paul Bert;VILLENEUVE-LE-ROI;9854,8
2313E1276324Z;B;2014;95;13014;Traverse de party;MARSEILLE;2910,9
2159E0830397Q;E;1968;168;59173;Rue de Therouanne;RENESCURE;45797,9
2292E2483170D;B;1948;3;92220;Allée des Bas-coquarts;BAGNEUX;4990,1
2321E0799398Z;C;;23;21300;Rue George Sand;CHENOVE;7933,3
2172E0832205R;C;1957;4;72100;Allee Tchaikovski;LE MANS;5347,6
2294E2098399I;C;2006;11ter;94240;Rue Gustave Charpentier;L'Hay-les-Roses;5502,5
2381E0233790D;C;2012;10;81200;Rue Jean Moulin;Aussillon;6684,9
2172E0832226M;C;1957;4;72100;Allee Tchaikovski;LE MANS;5347,6
2213E1369460C;D;1961;;13118;RESIDENCE LES ARNAVAUX;Istres;11107,3
2333E0143350V;D;;;33150;Rue Pauline Kergomard;CENON;5573,2
2144E0833337D;F;1947;28;44110;La Feuvrais;Erbray, France;29657,4
2291E2855080I;D;1948;3;91100;Rue Léon Rault;CORBEIL-ESSONNES;8085,2
2383E1561485K;C;2004;14;83170;Chemin de Vins au Val;VINS SUR CARAMY;8967,8
2156E0825826S;E;1948;77;56170;Rue de Port-Haliguen;QUIBERON;18550
2195E1033511C;D;1982;;95370;24 Arpents, Général De Gaulle et Paul Cezanne;Montigny-lès-Cormeilles;11636,6
2359E0459999Q;D;2011;53;59100;Rue d’Avelghem;ROUBAIX;22684,9
2142E0814579P;E;1987;75;42470;Chemin de la Crenille;FOURNEAUX;32841
2294E2537334L;C;1948;86bis;94100;Rue du Pont de Créteil;SAINT-MAUR-DES-FOSSES;6136,1
2340E3333660I;B;2012;17;40180;Rue des Chasseurs;NARROSSE;5281,3
2124E0815070U;E;1947;;24620;;TURSAC;47601,8
2251E2583338E;F;1973;1-3-5-7-9-11-13;51100;d'Oseille;Reims;10289,7
2374E0493853H;C;2006;7bis;74600;Allée de charby;ANNECY-LE-VIEUX;10897,3
2157E0815901A;D;1947;1;57535;Rue de la Taye;MARANGE SILVANGE;79068,3
2277E0538701H;F;1963;3;77340;Impasse des Fleurs;Pontault-Combault;15134,7
2342E3322458O;E;1967;8;42152;Clos de Voron;L HORME;18159,1
2151E0808430L;E;1947;;51800;;SAINTE-MENEHOULD;24548,8
2218E3177111I;C;2010;9;18000;Avenue des Bigarelles;Bourges;10633,4
2313E1406055Q;D;;;13011;Impasse dejanire;MARSEILLE 11;10925,9
2135E0811020L;E;1947;16;35113;La Corvée;DOMAGNE;63409
2262E0874818H;D;1977;4;62540;Rue de Ponthieu;MARLES-LES-MINES;9516
2325E3925466N;B;1900;1;25610;Rue des Tuileries;ARC-ET-SENANS;5874,2
2103E0802329Y;G;1947;40;03450;Rue des Saulzets;ÉBREUIL;29752,7
2292E2025321O;C;2013;;92230;.;Gennevilliers;8078,5
2330E3183699F;C;1980;15;30230;Rue des Flamants Roses;BOUILLARGUES;7998,1
2132E0802946U;E;1975;;32230;;MARCIAC;26697,6
2291E1400586G;B;2015;;91270;.;VIGNEUX-SUR-SEINE;3632,8
2342E0411899Z;C;2010;24;42290;Rue Jean-louis Berger;SORBIERS, France;8727,3
2183E0803150P;D;1948;52;83170;Avenue Charles Gaou;TOURVES;22676,4
2257E2116123P;D;2006;17;57510;Rue des Domerberg;St Jean Rohrbach;21173,2
2317E1098503W;D;;5;17139;Rue Traversière;DOMPIERRE SUR MER;11557,4
2104E0803814C;G;1947;;04120;;LA GARDE;56153,1
2213E1278384E;D;1976;;13260;Route des Cretes;CASSIS;11808,6
2334E1539376E;D;1949;10;34500;Rue Malbec;BEZIERS;10039
2169E0793245C;B;2013;31;69800;Rue Juliette Récamier;ST PRIEST;5227,5
2294E3188123U;C;1948;6;94300;Rue de l'Industrie;VINCENNES;9208
2394E2315483T;E;1975;3;94600;Avenue Pablo Picasso;CHOISY-LE-ROI;15100,4
2162E0796507H;F;1948;6;62170;Rue du Centre;CAMPIGNEULLES-LES-PETITES;39510,4
2291E1660224I;C;1964;;91100;.;Corbeil-Essonnes;9034,4
2342E3046939R;C;;123;42153;Rue Nicole Girard Mangin;RIORGES;6122,9
2134E0798377D;C;1948;4;34500;Impasse Pierre Roland Laporte;BÉZIERS;14007,6
2256E1657329Q;C;1987;1;56600;Rue de Groix;Lanester;3441,5
2389E3933717I;E;;50;89190;Rue de la Forét de Lancy;SAINT MAURICE AUX RICHES HOMMES;31146,1
2188E0785165B;E;1948;12;88700;Rue Andre Pernet;RAMBERVILLERS;15699,2
2291E1420020S;D;1966;9;91380;Avenue de l’Ile de France;CHILLY MAZARIN;17684,6
2321E1322888F;C;2014;7a;21800;Rue Colette;CHEVIGNY ST SAUVEUR;5010,8
2188E0785361P;E;1948;14;88700;Rue Andre Pernet;RAMBERVILLERS;19292,1
2295E1275541Z;D;1961;;95480;.;PIERRELAYE;12830
2384E2098832Q;D;;2232;84160;Route de Lourmarin;CUCURON;48961,1
2188E0785596Q;E;1948;22;88700;Rue Andre Pernet;RAMBERVILLERS;14628,1
2291E1328327B;B;2015;;91220;;BRETIGNY-SUR-ORGE;6547,4
2335E2833724V;C;2013;9;35000;Rue Roger-Henri Guerrand;Rennes;4115,2
2151E0786329K;D;1948;6;51510;Rue Nungesser et Coli;Fagnières;21380,2
2230E2140467W;D;1965;509;30200;Avenue du Commando Vigan-Braquet;Bagnols-sur-Cèze;13752,5
2312E3592802G;C;1950;35;12100;Avenue de la République;MILLAU;8268,6
2175E0786745I;E;1947;8;75010;Rue Alibert;PARIS 10;30026,5
2274E2997080F;G;1980;377;74260;Route de magy;Les Gets;17093,4
2391E2689659A;G;1948;;91160;Rue de la Grille au Roi;SAULX LES CHARTREUX;2893,7
2103E0788085C;D;1947;6;03110;Rue Saint Clément;ESPINASSE VOZELLE;23998,8
